_ Vote wisely | Vote wisely #DapatTama | wisely #DapatTama _ => 175
_ @MAYORrific ka-jirits | @MAYORrific ka-jirits noh? | ka-jirits noh? _ => 3
_ @MAYORrific wassap | @MAYORrific wassap Angel-o! | wassap Angel-o! _ => 3
_ Eleksyon ba | Eleksyon ba naman | ba naman _ => 3
_ #IpasokSiDick haha | #IpasokSiDick haha . | haha . _ => 3
_ Eleksyon nga | Eleksyon nga naman | nga naman _ => 3
_ #IpasoksiDick sa | #IpasoksiDick sa senado.. | sa senado.. _ => 3
_ #IpasokSiDick the | #IpasokSiDick the best | the best _ => 3
_ Enduring the | Enduring the heat. | the heat. _ => 3
_ #laguna #Eleksyon2013 | #laguna #Eleksyon2013 #dapattama" | #Eleksyon2013 #dapattama" _ => 4
_ #LimForMayor #LimForMayor | #LimForMayor #LimForMayor @TheMayorLIM | #LimForMayor @TheMayorLIM _ => 3
_ @mikamadrid after | @mikamadrid after election | after election _ => 3
_ #MaulangEleksyon2013 _ | #MaulangEleksyon2013 _ Vote | _ Vote _ => 14
_ Erap-343993 _ | Erap-343993 _ Lim-308544 | _ Lim-308544 _ => 3
_ #My8Senators @… | #My8Senators @… http://t.co/nqda7cuIDr" | @… http://t.co/nqda7cuIDr" _ => 3
_ eto naaaa | eto naaaa #votewisely | naaaa #votewisely _ => 3
_ #natunaw na | #natunaw na hahaha.... | na hahaha.... _ => 3
_ Even on | Even on election | on election _ => 3
_ #NoTag _ | #NoTag _ #OldChuckTaylor | _ #OldChuckTaylor _ => 3
_ #notonancybinay this | #notonancybinay this election! | this election! _ => 3
_ #nowwatching #Halalan2013 | #nowwatching #Halalan2013 (ABS-CBN) | #Halalan2013 (ABS-CBN) _ => 4
_ #OldChuckTaylor _ | #OldChuckTaylor _ #ElectionDay | _ #ElectionDay _ => 5
_ Ewan ko | Ewan ko sayo! | ko sayo! _ => 3
_ @nadyaquijano vote | @nadyaquijano vote for? | vote for? _ => 4
_ Excercise your | Excercise your right! | your right! _ => 3
_ #Philippine Election | #Philippine Election 2013 | Election 2013 _ => 5
_ #PHvoteresults for | #PHvoteresults for updates | for updates _ => 3
_ #phvoteresults is | #phvoteresults is scary | is scary _ => 3
_ family name | family name tags | name tags _ => 3
_ #PrayForManila ?????????????? | #PrayForManila ?????????????? #elections2013 | ?????????????? #elections2013 _ => 3
_ #PunyetaKayo #Halalan2013 | #PunyetaKayo #Halalan2013 #eleksyon2013 | #Halalan2013 #eleksyon2013 _ => 44
_ #PunyetaKayo #Halalan2013 | #PunyetaKayo #Halalan2013 #eleksyon2013" | #Halalan2013 #eleksyon2013" _ => 3
_ @NiqueKnacks vote | @NiqueKnacks vote buying!! | vote buying!! _ => 3
_ #rockdavote _ | #rockdavote _ #gracepoeforsenator" | _ #gracepoeforsenator" _ => 3
_ #SakripisyoParaSaBayan _ | #SakripisyoParaSaBayan _ #Botante" | _ #Botante" _ => 3
_ #school #vote | #school #vote #electionday | #vote #electionday _ => 3
_ @NMduka Mayor | @NMduka Mayor Edna! | Mayor Edna! _ => 3
_ Fiesta! #halalan2013 | Fiesta! #halalan2013 http://t.co/X3toHPCRvx | #halalan2013 http://t.co/X3toHPCRvx _ => 3
_ @noooooldeng23 ako | @noooooldeng23 ako boto | ako boto _ => 3
_ Filipinos,pls vote | Filipinos,pls vote wisely!!" | vote wisely!!" _ => 3
_ @officiallurker election | @officiallurker election pa.. | election pa.. _ => 3
_ finally my | finally my vote | my vote _ => 4
_ #TMACforVICEMAYOR _ | #TMACforVICEMAYOR _ #TMACforVICEMAYOR | _ #TMACforVICEMAYOR _ => 3
_ Finally naka | Finally naka boto | naka boto _ => 3
_ Finally vote | Finally vote :) | vote :) _ => 10
_ #TMACforVICEMAYOR #TMACforVICEMAYOR | #TMACforVICEMAYOR #TMACforVICEMAYOR #TMACforVICEMAYOR | #TMACforVICEMAYOR #TMACforVICEMAYOR _ => 3
_ #TV5 #AskyonTV | #TV5 #AskyonTV ch41 | #AskyonTV ch41 _ => 3
_ @ohoh_Arvy vote??????? | @ohoh_Arvy vote??????? #SAAN?? | vote??????? #SAAN?? _ => 3
_ #TwoThingsThatDontMixWell Nancy | #TwoThingsThatDontMixWell Nancy Binay | Nancy Binay _ => 4
_ @OngPhenoy I | @OngPhenoy I voted | I voted _ => 3
_ #vote #election2013 | #vote #election2013 #dapattama | #election2013 #dapattama _ => 7
_ @pat_wicked vote | @pat_wicked vote for | vote for _ => 3
_ #voted #nakabotoako… | #voted #nakabotoako… http://t.co/U4C0bDIOe9" | #nakabotoako… http://t.co/U4C0bDIOe9" _ => 3
_ Flying voter!? | Flying voter!? #showtime | voter!? #showtime _ => 3
_ Flying voter? | Flying voter? Ahahahah | voter? Ahahahah _ => 3
_ #Voted! #votewisely | #Voted! #votewisely #halalan2013 | #votewisely #halalan2013 _ => 8
_ #voteLesserEvil enough | #voteLesserEvil enough said | enough said _ => 3
_ Follow @DevoteesTARLAC | Follow @DevoteesTARLAC #KathrynBernardoMeetAndGreet | @DevoteesTARLAC #KathrynBernardoMeetAndGreet _ => 3
_ @pauleugenio_ vote | @pauleugenio_ vote for | vote for _ => 3
_ #voter #halalan2013… | #voter #halalan2013… http://t.co/3eJpfR9Jrm" | #halalan2013… http://t.co/3eJpfR9Jrm" _ => 3
_ #votes #eleksyon2013 | #votes #eleksyon2013 #1gracepoe | #eleksyon2013 #1gracepoe _ => 3
_ #votewisely #election | #votewisely #election #halalan2013 | #election #halalan2013 _ => 3
_ #votewisely #votewisely | #votewisely #votewisely #votewisely | #votewisely #votewisely _ => 3
_ #voteWisely :-) | #voteWisely :-) #electioNday | :-) #electioNday _ => 3
_ #VoteWisely Every | #VoteWisely Every Juan.. | Every Juan.. _ => 3
_ #VoteWisely People! | #VoteWisely People! ?? | People! ?? _ => 3
_ Gabay Halalan | Gabay Halalan 2013 | Halalan 2013 _ => 6
_ 'Cause the | 'Cause the election | the election _ => 4
_ Get inked! | Get inked! #imnotyetavoter | inked! #imnotyetavoter _ => 3
_ - Magsaysay, | - Magsaysay, R | Magsaysay, R _ => 3
_ Getting there | Getting there #Halalan2013 | there #Halalan2013 _ => 3
_ -VIP mode. | -VIP mode. #Halalan2013 | mode. #Halalan2013 _ => 3
_ Gising Muntinlupa! | Gising Muntinlupa! :) | Muntinlupa! :) _ => 3
_ Gising na | Gising na ako. | na ako. _ => 4
_ Globe Gabay | Globe Gabay Halalan | Gabay Halalan _ => 3
_ Go Liberal | Go Liberal #election2013 | Liberal #election2013 _ => 3
_ ... Boto | ... Boto na! | Boto na! _ => 6
_ Go voters | Go voters go!!! | voters go!!! _ => 3
_ Go wise | Go wise voters! | wise voters! _ => 3
_ Good Afternoon!!! | Good Afternoon!!! #VoteWisely | Afternoon!!! #VoteWisely _ => 3
_ Good Aftie | Good Aftie http://t.co/hahYUS9xg4" | Aftie http://t.co/hahYUS9xg4" _ => 3
_ 05.03.13 - | 05.03.13 - Friday | - Friday _ => 3
_ good morning...vote | good morning...vote wisely... | morning...vote wisely... _ => 3
_ 1 - | 1 - POE | - POE _ => 3
_ Goodevening guys | Goodevening guys #voteashikabayoti | guys #voteashikabayoti _ => 3
_ #firsttimevoter _ | #firsttimevoter _ Election | _ Election _ => 3
_ #goodlucktous _ | #goodlucktous _ #Eleksyon2013" | _ #Eleksyon2013" _ => 11
_ Goodmorning! #votesmart | Goodmorning! #votesmart #votewisely | #votesmart #votewisely _ => 5
_ GoodMorning! :)) | GoodMorning! :)) #Eleksyon2013 | :)) #Eleksyon2013 _ => 8
_ GoodMorning! :)) | GoodMorning! :)) #votewisely | :)) #votewisely _ => 4
_ Goodmorning! Boboto | Goodmorning! Boboto din. | Boboto din. _ => 3
_ #Halalan2013 #BMPMTayoNa | #Halalan2013 #BMPMTayoNa @bayanmo | #BMPMTayoNa @bayanmo _ => 5
_ Goodmorning!Phil. Election | Goodmorning!Phil. Election 2013 | Election 2013 _ => 5
_ Goodmorning, vote | Goodmorning, vote wisely! | vote wisely! _ => 71
_ Goodmorning. #Eleksyon2013 | Goodmorning. #Eleksyon2013 #GoSpursGo | #Eleksyon2013 #GoSpursGo _ => 4
_ #Halalan2013 #government | #Halalan2013 #government #change" | #government #change" _ => 3
_ Goodmorning:-) #election2013 | Goodmorning:-) #election2013 #votewisely | #election2013 #votewisely _ => 7
_ Goodnight!:-) #PrayForThePhilippines | Goodnight!:-) #PrayForThePhilippines #Halalan2013 | #PrayForThePhilippines #Halalan2013 _ => 3
_ Gooodmorning ?? | Gooodmorning ?? #votewisely | ?? #votewisely _ => 3
_ goooo! vote | goooo! vote wisely! | vote wisely! _ => 71
_ @samura_3 mgvote | @samura_3 mgvote nka? | mgvote nka? _ => 3
_ Gooooodmorniiiiing!!! :-) | Gooooodmorniiiiing!!! :-) #Halalan2013 | :-) #Halalan2013 _ => 7
_ @santos_jay_R #ipasoksidick | @santos_jay_R #ipasoksidick #Eleksyon2013 | #ipasoksidick #Eleksyon2013 _ => 3
_ @SayChiz for | @SayChiz for me | for me _ => 3
_ Grabe na | Grabe na itu. | na itu. _ => 3
_ @shakeout07 bobotoo | @shakeout07 bobotoo =) | bobotoo =) _ => 3
_ grabe sa | grabe sa mayor | sa mayor _ => 5
_ Grabeng pawis!? | Grabeng pawis!? #Election2013 | pawis!? #Election2013 _ => 3
_ "@krstngonzaga:among senatorial | "@krstngonzaga:among senatorial candidates | senatorial candidates _ => 3
_ gulo sa | gulo sa election. | sa election. _ => 5
_ "@mayoramos1 whahaha | "@mayoramos1 whahaha pwde.. | whahaha pwde.. _ => 3
_ "@mayoramos1 yup | "@mayoramos1 yup :) | yup :) _ => 3
_ Haba na | Haba na agad | na agad _ => 4
_ Habol Hontiveros! | Habol Hontiveros! #elections2013 | Hontiveros! #elections2013 _ => 3
_ Habol ka | Habol ka na | ka na _ => 3
_ @SuperElmo done | @SuperElmo done voting | done voting _ => 3
_ Had my | Had my vote | my vote _ => 5
_ "@narrehnigga: Risa | "@narrehnigga: Risa Hontiveros | Risa Hontiveros _ => 4
_ hahaha! “@chinoccamacho: | hahaha! “@chinoccamacho: #BinayFirstBlackSenator” | “@chinoccamacho: #BinayFirstBlackSenator” _ => 3
_ @Teddy_Baguilat Good | @Teddy_Baguilat Good luck! | Good luck! _ => 3
_ @thefifthkirch iboto | @thefifthkirch iboto mo | iboto mo _ => 3
_ Halalan 2013 | Halalan 2013 :) | 2013 :) _ => 4
_ Halalan 2013 | Halalan 2013 http://t.co/uEEicPXMLZ" | 2013 http://t.co/uEEicPXMLZ" _ => 3
_ Halalan 2013 | Halalan 2013 http://t.co/wcbMOQme2L | 2013 http://t.co/wcbMOQme2L _ => 3
_ Halalan 2013 | Halalan 2013 na! | 2013 na! _ => 3
_ Halalan na!! | Halalan na!! :DDD | na!! :DDD _ => 3
_ @vicegandako iboboto | @vicegandako iboboto ko | iboboto ko _ => 4
_ @TianoCortez sa | @TianoCortez sa mayor | sa mayor _ => 5
_ Alfredo Lim | Alfredo Lim 104K" | Lim 104K" _ => 4
_ Alfredo Lim | Alfredo Lim 104K" | Lim 104K" _ => 4
_ Alfredo Lim | Alfredo Lim 104K” | Lim 104K” _ => 4
_ Alfredo Lim | Alfredo Lim 104K”" | Lim 104K”" _ => 4
_ all is | all is fair..goodluck! | is fair..goodluck! _ => 4
_ @tonio_yanga vote | @tonio_yanga vote buying! | vote buying! _ => 5
_ "@UPsaHalalan: Nancy | "@UPsaHalalan: Nancy Binay | Nancy Binay _ => 4
_ @TROLOLaurice naka | @TROLOLaurice naka boto | naka boto _ => 3
_ Ayan na | Ayan na naman | na naman _ => 4
_ @UpOnNiall LOL | @UpOnNiall LOL ! | LOL ! _ => 3
_ "BAWAL MAGKAMALI | "BAWAL MAGKAMALI !! | MAGKAMALI !! _ => 3
_ Bakit pag | Bakit pag election | pag election _ => 4
_ "Buti na | "Buti na lang | na lang _ => 4
_ Be a | Be a good | a good _ => 6
_ Be smart | Be smart voters! | smart voters! _ => 4
_ "Caption ? | "Caption ? Hahaha! | ? Hahaha! _ => 3
_ "Cavite naman. | "Cavite naman. :( | naman. :( _ => 4
_ "Dear Elected | "Dear Elected Candidates, | Elected Candidates, _ => 3
_ Binay for | Binay for Senator. | for Senator. _ => 7
_ Boboto daw | Boboto daw siya | daw siya _ => 4
_ @WattpadRockss election!! | @WattpadRockss election!! :D | election!! :D _ => 3
_ @wecameasnikko boto | @wecameasnikko boto ko | boto ko _ => 3
_ "Done!!! #certified | "Done!!! #certified voters...?? | #certified voters...?? _ => 3
_ Boboto na! | Boboto na! Yahoo | na! Yahoo _ => 4
_ "ERAP to | "ERAP to LIM: | to LIM: _ => 3
_ Botohan n | Botohan n :) | n :) _ => 4
_ "finaLLy i'm | "finaLLy i'm Homeü | i'm Homeü _ => 3
_ Brownout na | Brownout na kasi | na kasi _ => 4
_ "Full support?????? | "Full support?????? ????? | support?????? ????? _ => 3
_ Canvassing of | Canvassing of #Halalan2013 | of #Halalan2013 _ => 5
_ "Good morning.ELECTION | "Good morning.ELECTION NA | morning.ELECTION NA _ => 3
_ "goodnight people | "goodnight people ;) | people ;) _ => 3
_ "Gooodmornin' _ | "Gooodmornin' _ #peacefulelection | _ #peacefulelection _ => 3
_ Certified Filipino | Certified Filipino voters | Filipino voters _ => 4
_ "gu'morning everyone!! | "gu'morning everyone!! :) | everyone!! :) _ => 4
_ @yosoylila iboto | @yosoylila iboto mo | iboto mo _ => 3
_ @yosoylila nakaboto | @yosoylila nakaboto kana?:)) | nakaboto kana?:)) _ => 3
_ Dapat tama... | Dapat tama... ?? | tama... ?? _ => 4
_ "I'm NERVOUS | "I'm NERVOUS :/ | NERVOUS :/ _ => 3
_ Decided to | Decided to vote | to vote _ => 21
_ Dito sa | Dito sa bahay | sa bahay _ => 5
_ Dito sa | Dito sa Pila? | sa Pila? _ => 4
_ @zaydreten sa | @zaydreten sa mayor | sa mayor _ => 5
_ "Kamusta ang | "Kamusta ang eleksyon?! | ang eleksyon?! _ => 3
_ Done! :) | Done! :) #halalan2013 | :) #halalan2013 _ => 33
_ A busy | A busy day | busy day _ => 3
_ What happened | What happened Philippines?! | happened Philippines?! _ => 5
_ What happened | What happened Manilenos? | happened Manilenos? _ => 3
_ Elections tomorrow | Elections tomorrow ?? | tomorrow ?? _ => 5
_ what we | what we deserve. | we deserve. _ => 3
_ Erap-327592 _ | Erap-327592 _ Lim-296014 | _ Lim-296014 _ => 6
_ Accountable to | Accountable to yourVOTE | to yourVOTE _ => 3
_ Active _ | Active _ Tough | _ Tough _ => 3
_ Aft. God | Aft. God bless | God bless _ => 3
_ For a | For a Followback | a Followback _ => 4
_ after election | after election na | election na _ => 7
_ Who I | Who I would | I would _ => 3
_ after election | after election daw | election daw _ => 5
_ after election | after election na | election na _ => 3
_ after election | after election na. | election na. _ => 4
_ Go Mayor | Go Mayor Lim! | Mayor Lim! _ => 7
_ Go Mayor | Go Mayor Lim!!! | Mayor Lim!!! _ => 5
_ Goodmorning. vote | Goodmorning. vote wisely! | vote wisely! _ => 72
_ Ako na | Ako na lang | na lang _ => 6
_ here to | here to vote | to vote _ => 17
_ Hindi kita | Hindi kita iboboto! | kita iboboto! _ => 4
_ Wise words | Wise words from | words from @thisboykills_ => 3
_ alam na | alam na gagawin | na gagawin _ => 3
_ Hindi pala | Hindi pala ako | pala ako _ => 5
_ Hoping my | Hoping my vote | my vote _ => 5
_ How about | How about you?:) | about you?:) _ => 4
_ All of | All of them | of them _ => 3
_ All the | All the best | the best _ => 4
_ I boto | I boto niyo | boto niyo _ => 4
_ Almost there. | Almost there. #VoteSmart | there. #VoteSmart _ => 3
_ I voted. | I voted. Haha | voted. Haha _ => 4
_ wow election | wow election day. | election day. _ => 9
_ Wow! Halalan | Wow! Halalan 2013 | Halalan 2013 _ => 6
_ Inulan ang | Inulan ang eleksyon | ang eleksyon _ => 5
_ Inulan ang | Inulan ang eleksyon. | ang eleksyon. _ => 8
_ Inuulan ang | Inuulan ang eleksyon. | ang eleksyon. _ => 8
_ Ipasok si | Ipasok si Hagedorn! | si Hagedorn! _ => 4
_ Isa na | Isa na lang | na lang _ => 5
_ Isko-395156 _ | Isko-395156 _ Lou-234256 | _ Lou-234256 _ => 6
_ Yay! Botohan | Yay! Botohan na | Botohan na _ => 3
_ Yehey naka | Yehey naka boto | naka boto _ => 3
_ kaya pa | kaya pa yan! | pa yan! _ => 4
_ Konti na | Konti na lang | na lang _ => 5
_ Lazy election | Lazy election day. | election day. _ => 10
_ Yon naka | Yon naka boto | naka boto _ => 3
_ Lou-234256 _ | Lou-234256 _ @inquirerdotnet" | _ @inquirerdotnet" _ => 7
_ Mageeleksyon na | Mageeleksyon na kasi | na kasi _ => 4
_ You still | You still win. | still win. _ => 3
_ Antipolo City | Antipolo City http://t.co/GvmR3dLX1U | City http://t.co/GvmR3dLX1U _ => 3
_ Making my | Making my vote | my vote _ => 6
_ Antipolo City | Antipolo City http://t.co/XWCeiupZwc | City http://t.co/XWCeiupZwc _ => 3
_ Antipolo City | Antipolo City http://t.co/ZRRva03KsH | City http://t.co/ZRRva03KsH _ => 3
_ Anu ba | Anu ba yan!!! | ba yan!!! _ => 3
_ Maulan na | Maulan na eleksyon. | na eleksyon. _ => 4
_ Anyare Manila? | Anyare Manila? xD | Manila? xD _ => 3
_ Maulan na | Maulan na Halalan#votewisely | na Halalan#votewisely _ => 4
_ Anyare Manila????? | Anyare Manila????? #halalan2013 | Manila????? #halalan2013 _ => 3
_ Anyway, this | Anyway, this election | this election _ => 3
_ May 13, | May 13, 9:08pm." | 13, 9:08pm." _ => 4
_ May the | May the best | the best _ => 6
_ monitoring the | monitoring the elections | the elections _ => 5
_ Zombie votes!! | Zombie votes!! Haha.. | votes!! Haha.. _ => 3
_ | @erikasauler | | @erikasauler #VOTE2013" | @erikasauler #VOTE2013" _ => 3
_ “@ABSCBNNews: Vice | “@ABSCBNNews: Vice President | Vice President _ => 3
_ automated election | automated election na | election na _ => 3
_ Awww! Mayor-Elect! | Awww! Mayor-Elect! #Manila4aChange | Mayor-Elect! #Manila4aChange _ => 3
_ “@aupijuan: Grace | “@aupijuan: Grace Poe | Grace Poe _ => 6
_ National election | National election day.. | election day.. _ => 4
_ Nice to | Nice to vote | to vote _ => 16
_ No more | No more Lim. | more Lim. _ => 4
_ Ayan Vote | Ayan Vote wisely. | Vote wisely. _ => 41
_ number of | number of votes. | of votes. _ => 5
_ “@ClodzRamos: Vote | “@ClodzRamos: Vote Wisely | Vote Wisely _ => 25
_ Nw: Halalan | Nw: Halalan 2013 | Halalan 2013 _ => 8
_ Ayoko ng | Ayoko ng JRF | ng JRF _ => 3
_ “@deniecerivera: Vote | “@deniecerivera: Vote Wisely | Vote Wisely _ => 25
_ Ok na | Ok na yun. | na yun. _ => 4
_ babaeng iboboto | babaeng iboboto ko | iboboto ko _ => 6
_ OT #Eleksyon2013 | OT #Eleksyon2013 #GoSpursGo | #Eleksyon2013 #GoSpursGo _ => 5
_ OT #Eleksyon2013 | OT #Eleksyon2013 #GoSpursGo | #Eleksyon2013 #GoSpursGo _ => 5
_ Overconfident Nancy | Overconfident Nancy Binay | Nancy Binay _ => 9
_ Panalo na | Panalo na ba??? | na ba??? _ => 4
_ Pano ba | Pano ba naman | ba naman _ => 4
_ Pano na | Pano na lang | na lang _ => 6
_ Baka next | Baka next election | next election _ => 3
_ Pano na | Pano na botohan? | na botohan? _ => 4
_ Pano na | Pano na yan | na yan _ => 5
_ “@HecklerForever: Nancy | “@HecklerForever: Nancy Binay | Nancy Binay _ => 4
_ “@iamjhenthot: Dapat | “@iamjhenthot: Dapat Tama! | Dapat Tama! _ => 4
_ “@IamRACOofficial: Nancy | “@IamRACOofficial: Nancy Binay | Nancy Binay _ => 4
_ Bakit nga | Bakit nga naman | nga naman _ => 3
_ Puro eleksyon | Puro eleksyon .. | eleksyon .. _ => 4
_ Puro eleksyon | Puro eleksyon :( | eleksyon :( _ => 4
_ pwede na | pwede na lang | na lang _ => 5
_ Basta iboboto | Basta iboboto ko | iboboto ko _ => 3
_ RT"@annecurtissmith: Good | RT"@annecurtissmith: Good morning. | Good morning. _ => 5
_ Sa vice | Sa vice mayor. | vice mayor. _ => 10
_ Bat kaya | Bat kaya ayaw | kaya ayaw _ => 3
_ “@JeroManero27: Election | “@JeroManero27: Election day! | Election day! _ => 4
_ sayang boto | sayang boto ko | boto ko _ => 4
_ sayang boto | sayang boto ko! | boto ko! _ => 5
_ Sayang yung | Sayang yung boto! | yung boto! _ => 4
_ Si Dick | Si Dick Gordon | Dick Gordon _ => 6
_ Simula na | Simula na ngayon. | na ngayon. _ => 4
_ Sino ang | Sino ang nangunguna? | ang nangunguna? _ => 4
_ Benta Boto.. | Benta Boto.. :X | Boto.. :X _ => 3
_ Sino iboboto | Sino iboboto ko | iboboto ko _ => 8
_ “@loyoung: Good | “@loyoung: Good morning! | Good morning! _ => 4
_ “@maikoviar: God | “@maikoviar: God bless | God bless _ => 3
_ Tatakbo ka | Tatakbo ka ba? | ka ba? _ => 13
_ Binay? LOKOHAN! | Binay? LOKOHAN! #eleksyon2013 | LOKOHAN! #eleksyon2013 _ => 3
_ the best | the best #Halalan2013 | best #Halalan2013 _ => 4
_ “@PARTYPILIPINAS7: #DapatTama | “@PARTYPILIPINAS7: #DapatTama #Eleksyon2013” | #DapatTama #Eleksyon2013” _ => 3
_ the best | the best candidates | best candidates _ => 4
_ the best | the best congressmen | best congressmen _ => 4
_ Blah blah! | Blah blah! #ElectionIsHotInThePhilippines | blah! #ElectionIsHotInThePhilippines _ => 3
_ boboto nila | boboto nila mummmmita:) | nila mummmmita:) _ => 3
_ Boboto pa | Boboto pa ako | pa ako _ => 4
_ Boboto pa | Boboto pa hehe! | pa hehe! _ => 3
_ Time for | Time for me | for me _ => 8
_ Botante ka | Botante ka na | ka na _ => 4
_ Trending ang | Trending ang #halalan2013 | ang #halalan2013 _ => 4
_ “@SIRENSph: Good | “@SIRENSph: Good morning! | Good morning! _ => 4
_ boto din | boto din bukas. | din bukas. _ => 3
_ Utang na | Utang na loob | na loob _ => 6
_ Utang na | Utang na loob | na loob _ => 4
_ Boto na. | Boto na. Go! | na. Go! _ => 3
_ vice mayor | vice mayor :) | mayor :) _ => 5
_ vice mayor | vice mayor :) | mayor :) _ => 5
_ vice mayor | vice mayor ?? | mayor ?? _ => 4
_ vice mayor | vice mayor @iskomoreno | mayor @iskomoreno _ => 4
_ vice mayor | vice mayor ah. | mayor ah. _ => 4
_ vice mayor | vice mayor amo. | mayor amo. _ => 4
_ vice mayor | vice mayor namin? | mayor namin? _ => 4
_ vice mayor | vice mayor race. | mayor race. _ => 4
_ “@vicegandako: Risa | “@vicegandako: Risa Hontiveros. | Risa Hontiveros. _ => 3
_ Vote buying. | Vote buying. :) | buying. :) _ => 4
_ Botohan na | Botohan na =)) | na =)) _ => 3
_ Vote mayor | Vote mayor lim | mayor lim _ => 5
_ Botohan na | Botohan na ngayon | na ngayon _ => 3
_ Botohan na! | Botohan na! :) | na! :) _ => 4
_ Vote right! | Vote right! http://t.co/kPWvrgB79L | right! http://t.co/kPWvrgB79L _ => 4
_ Botohan na! | Botohan na! :D | na! :D _ => 4
_ Vote wisely!! | Vote wisely!! :) | wisely!! :) _ => 6
_ Vote wisely!! | Vote wisely!! #dapattama | wisely!! #dapattama _ => 4
_ Vote wisely!! | Vote wisely!! #Eleksyon2013 | wisely!! #Eleksyon2013 _ => 4
_ Vote wisely!! | Vote wisely!! :-) | wisely!! :-) _ => 4
_ Vote wisely!!! | Vote wisely!!! ? | wisely!!! ? _ => 4
_ Vote wisely!!! | Vote wisely!!! Goodmorning. | wisely!!! Goodmorning. _ => 4
_ Vote wisely:) | Vote wisely:) http://t.co/dvxPdpKxUy | wisely:) http://t.co/dvxPdpKxUy _ => 4
_ Vote! :) | Vote! :) http://t.co/i3xEdHB2EK | :) http://t.co/i3xEdHB2EK _ => 4
_ Vote! :) | Vote! :) http://t.co/oTmCVv8Uhm | :) http://t.co/oTmCVv8Uhm _ => 4
_ BPMSHRInc. Election | BPMSHRInc. Election 2013 | Election 2013 _ => 5
_ Vote! :) | Vote! :) http://t.co/i3xEdHB2EK | :) http://t.co/i3xEdHB2EK _ => 4
_ Vote! :) | Vote! :) http://t.co/oTmCVv8Uhm | :) http://t.co/oTmCVv8Uhm _ => 4
_ Voted :) | Voted :) #31Villanueva | :) #31Villanueva _ => 4
_ Voted! _ | Voted! _ Vote | _ Vote _ => 15
_ Coun. O. | Coun. O. Asilo | O. Asilo _ => 3
_ Bro Eddie | Bro Eddie Villanueva! | Eddie Villanueva! _ => 3
_ Voting time | Voting time #Halalan2013 | time #Halalan2013 _ => 4
_ Wag si | Wag si erap!! | si erap!! _ => 5
_ Bukas, Eleksyon | Bukas, Eleksyon 2013. | Eleksyon 2013. _ => 4
_ Bulakenyos,vote for | Bulakenyos,vote for #31Villanueva | for #31Villanueva _ => 3
_ Watching Halalan | Watching Halalan 2013 | Halalan 2013 _ => 8
_ Burdeos on | Burdeos on election | on election _ => 3
_ BUSY sa | BUSY sa election:[ | sa election:[ _ => 3
_ We're done | We're done voting | done voting _ => 4
_ Why vote | Why vote for | vote for _ => 7
_ Will my | Will my vote | my vote _ => 6
_ Will not | Will not vote. | not vote. _ => 4
_ Yes, I | Yes, I voted! | I voted! _ => 4
_ DANILO LP | DANILO LP 64,630 | LP 64,630 _ => 3
_ “@annecurtissmith: Good | “@annecurtissmith: Good morning. | Good morning. _ => 5
_ DASAL na | DASAL na lang | na lang _ => 4
_ Ceasefire na | Ceasefire na sila | na sila _ => 3
_ “@vicegandako: God | “@vicegandako: God bless | God bless _ => 5
_ Lakas ng | Lakas ng ulan!! | ng ulan!! _ => 3
_ Choose wisely. | Choose wisely. :D | wisely. :D _ => 3
_ Detective _ | Detective _ Alert | _ Alert _ => 3
_ Lantaran Vote | Lantaran Vote buying | Vote buying _ => 5
_ Di ka | Di ka nagvote? | ka nagvote? _ => 3
_ Las Piñas | Las Piñas http://t.co/3Z3NACFy4z | Piñas http://t.co/3Z3NACFy4z _ => 3
_ Las Piñas | Las Piñas http://t.co/QmQbypfaQT | Piñas http://t.co/QmQbypfaQT _ => 3
_ Las Piñas | Las Piñas http://t.co/rsfiqzS7td | Piñas http://t.co/rsfiqzS7td _ => 3
_ Di kami | Di kami koreans. | kami koreans. _ => 3
_ Di naka | Di naka boto | naka boto _ => 5
_ Clean election | Clean election please | election please _ => 3
_ clean my | clean my room. | my room. _ => 3
_ Di pala | Di pala ako | pala ako _ => 3
_ later pa | later pa ako | pa ako _ => 4
_ laundry. _ | laundry. _ **nakakatamad..." | _ **nakakatamad..." _ => 3
_ Coming very | Coming very soon!" | very soon!" _ => 3
_ Complete na | Complete na 12 | na 12 _ => 3
_ Dismayado sa | Dismayado sa botohan | sa botohan _ => 3
_ Congratulations, VICE | Congratulations, VICE MAYOR | VICE MAYOR _ => 5
_ Dito ko | Dito ko boboto. | ko boboto. _ => 3
_ do the | do the dishes. | the dishes. _ => 3
_ Done boto | Done boto ko | boto ko _ => 3
_ Done na. | Done na. :)) | na. :)) _ => 3
_ Life after | Life after elections? | after elections? _ => 3
_ Nakakapit pa | Nakakapit pa din | pa din _ => 4
_ Nakakatakot ang | Nakakatakot ang eleksyon | ang eleksyon _ => 4
_ Lim-308544 _ | Lim-308544 _ @inquirerdotnet" | _ @inquirerdotnet" _ => 5
_ Limang daan | Limang daan Hahahaha. | daan Hahahaha. _ => 3
_ limang daan? | limang daan? ?? | daan? ?? _ => 6
_ Done! #Halalan2013 | Done! #Halalan2013 http://t.co/YlCF5fvd9c | #Halalan2013 http://t.co/YlCF5fvd9c _ => 3
_ limang daan? | limang daan? :""") | daan? :""") _ => 3
